Date;Label;Area (px);Area (cm2)
26/03/2018 15:00;C2M43-7-V-20180326-0015.JPG;198694;23,14403613
25/03/2018 20:00;C2M43-7-V-20180325-0020.JPG;198132;23,07857392
23/03/2018 16:30;C2M43-7-V-20180323-0025.JPG;140679;16,3864025
22/03/2018 17:15;C2M43-7-V-20180322-0019.JPG;119262;13,8917332
26/03/2018 15:00;C2M43-6-V-20180326-0015.JPG;226411;26,37253447
25/03/2018 20:00;C2M43-6-V-20180325-0020.JPG;199468;23,23419226
23/03/2018 16:30;C2M43-6-V-20180323-0025.JPG;135976;15,83859329
22/03/2018 17:15;C2M43-6-V-20180322-0019.JPG;110710;12,8955894
26/03/2018 15:00;C2M43-5-V-20180326-0015.JPG;115327;13,43338125
25/03/2018 20:00;C2M43-5-V-20180325-0020.JPG;98055;11,42152487
23/03/2018 16:30;C2M43-5-V-20180323-0025.JPG;64230;7,4815618
22/03/2018 17:15;C2M43-5-V-20180322-0019.JPG;52322;6,094508431
26/03/2018 15:00;C2M43-4-V-20180326-0015.JPG;200736;23,38188992
25/03/2018 20:00;C2M43-4-V-20180325-0020.JPG;183787;21,40765684
23/03/2018 16:30;C2M43-4-V-20180323-0025.JPG;125313;14,59655852
22/03/2018 17:15;C2M43-4-V-20180322-0019.JPG;108400;12,62651875
26/03/2018 15:00;C2M43-3-V-20180326-0015.JPG;278683;32,46121886
25/03/2018 20:00;C2M43-3-V-20180325-0020.JPG;259991;30,28395974
23/03/2018 16:30;C2M43-3-V-20180323-0025.JPG;187283;21,81487371
22/03/2018 17:15;C2M43-3-V-20180322-0019.JPG;152959;17,81678673
26/03/2018 15:00;C2M43-2-V-20180326-0015.JPG;150481;17,5281473
25/03/2018 20:00;C2M43-2-V-20180325-0020.JPG;126134;14,69218926
23/03/2018 16:30;C2M43-2-V-20180323-0025.JPG;86819;10,1127466
22/03/2018 17:15;C2M43-2-V-20180322-0019.JPG;70107;8,166119463
26/03/2018 15:00;C2M43-1-V-20180326-0015.JPG;84933;9,893063808
25/03/2018 20:00;C2M43-1-V-20180325-0020.JPG;73846;8,601641175
23/03/2018 16:30;C2M43-1-V-20180323-0025.JPG;46736;5,443846681
22/03/2018 17:15;C2M43-1-V-20180322-0019.JPG;37785;4,401227037
